urun_adi,raf_omru_gun,olcum1_ad,olcum1_min,olcum1_max,olcum2_ad,olcum2_min,olcum2_max,olcum3_ad,olcum3_min,olcum3_max,olcum_sikligi_dk,uretim_bolumu,numune_sayisi,sorumlu_departman
BOMBA,10.0,EKMEK,28.0,33.0,EKMEK+DOLGU,85.0,95.0,SON ÜRÜN,95.0,110.0,60.0,BOMBA,4.0,BOMBA
PROFİTEROL,10.0,EKMEK,14.0,16.0,EKMEK+DOLGU,48.0,52.0,SON ÜRÜN,148.0,152.0,120.0,PROFİTEROL,4.0,PROFİTEROL
RULO PASTA MUZ DOLDUGULU,10.0,SON ÜRÜN,95.0,105.0,,0.0,0.0,,0.0,0.0,120.0,RULO PASTA,4.0,
RULO PASTA ÇİKOLATALI,10.0,SON ÜRÜN,95.0,105.0,,0.0,0.0,,0.0,0.0,120.0,RULO PASTA,4.0,
KLASİK KREMA,3.0,,,,,,,SON ÜRÜN,1.0,15.0,75.0,KREMA,1.0,KREMA
BİTTER KREMA,3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
BİTTER KREMA (DONUK),3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
KLASİK KREMA,3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
KLASİK KREMA (DONUK),3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
KARAMEL KREMA,3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
KARAMEL KREMA (DONUK),3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
TİRAMUSU KREMA,3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
TİRAMUSU KREMA (DONUK),3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
BEYAZ ÇİKOLATA KREMA,3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
BEYAZ ÇİKOLATA KREMA (DONUK),3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
MAGNOLİA KLASİK KREMA,3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
MAGNOLİA KLASİK KREMA (DONUK),3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
MAGNOLİA SİYAH KREMA,3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
MAGNOLİA SİYAH KREMA (DONUK),3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
BOMBA KREMASI,3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
PROFİTEROL SİYAH KREMASI,3.0,,,,,,,,,,75.0,KREMA,1.0,KREMA
