id,ad,tip,parent_id,sorumlu_id,sira_no,aktif,created_at,sorumlu_departman
10,(+4) SOĞUK ODA,Bölüm,2.0,,0,True,2026-01-16 10:26:14.108864,
62,BAKIM ATÖLYESİ,Bölüm,5.0,,0,True,2026-01-17 06:55:00.400457,
41,BOMBA,Bölüm,3.0,,0,True,2026-01-16 11:25:20.408724,YÖNETİM > ÜRETİM > BOMBA
9,BULAŞIKHANE,Bölüm,2.0,,0,True,2026-01-16 10:25:40.151012,YÖNETİM > ÜRETİM > TEMİZLİK > BULAŞIKHANE
13,HIZLI SOĞUTMA -2,Bölüm,2.0,,0,True,2026-01-16 10:37:25.026059,YÖNETİM > ÜRETİM > KREMA
14,HIZLI SOĞUTMA -3,Bölüm,2.0,,0,True,2026-01-16 10:37:54.133587,YÖNETİM > ÜRETİM > KREMA
12,HIZLI SOĞUTMA-1,Bölüm,2.0,,0,True,2026-01-16 10:27:41.578566,YÖNETİM > ÜRETİM > KREMA
7,KEK,Bölüm,1.0,,0,True,2026-01-16 10:23:49.386857,YÖNETİM > ÜRETİM > KEK
8,KREMA,Bölüm,2.0,,0,True,2026-01-16 10:24:57.508870,YÖNETİM > ÜRETİM > KREMA
54,MESCİT (BAYAN),Bölüm,3.0,,0,True,2026-01-16 11:43:50.727797,
6,PATAŞU,Bölüm,1.0,,0,True,2026-01-16 10:23:03.652704,YÖNETİM > ÜRETİM > PATAŞU
31,PROFİTEROL,Bölüm,3.0,,0,True,2026-01-16 11:14:37.421289,YÖNETİM > ÜRETİM > PROFİTEROL
11,SOS,Bölüm,2.0,,0,True,2026-01-16 10:27:08.853577,
16,TUVALET,Bölüm,2.0,,0,True,2026-01-16 10:52:59.903427,
15,TUVALET,Bölüm,2.0,,0,True,2026-01-16 10:51:34.971117,
53,TUVALET (BAYAN),Bölüm,3.0,,0,True,2026-01-16 11:43:22.884136,
61,YEMEKHANE,Bölüm,5.0,,0,True,2026-01-17 06:52:31.814921,
55,FIRIN,Ekipman,6.0,,0,True,2026-01-16 13:37:27.650600,
56,FIRIN,Ekipman,7.0,,0,True,2026-01-16 13:45:18.439428,
57,HAMUR YOĞURMA,Ekipman,7.0,,0,True,2026-01-16 13:46:16.303479,
58,HAMUR YOĞURMA-1,Ekipman,6.0,,0,True,2026-01-16 13:48:07.720814,
59,HAMUR YOĞURMA-2,Ekipman,6.0,,0,True,2026-01-16 13:49:32.451627,
60,HAMUR YOĞURMA-3,Ekipman,6.0,,0,True,2026-01-16 13:50:08.506882,
35,İNJECT T. MAK.-1,Ekipman,31.0,,0,True,2026-01-16 11:19:57.825623,YÖNETİM > ÜRETİM > PROFİTEROL
36,İNJECT T. MAK.-2,Ekipman,31.0,,0,True,2026-01-16 11:20:37.840740,YÖNETİM > ÜRETİM > PROFİTEROL
37,İNJECT T. MAK.-3,Ekipman,31.0,,0,True,2026-01-16 11:21:21.385123,YÖNETİM > ÜRETİM > PROFİTEROL
17,KAZAN-1,Ekipman,8.0,,0,True,2026-01-16 10:54:42.321308,YÖNETİM > ÜRETİM > KREMA
28,KAZAN-10,Ekipman,8.0,,0,True,2026-01-16 11:03:25.269044,YÖNETİM > ÜRETİM > KREMA
29,KAZAN-11,Ekipman,8.0,,0,True,2026-01-16 11:03:52.520244,YÖNETİM > ÜRETİM > KREMA
30,KAZAN-12,Ekipman,8.0,,0,True,2026-01-16 11:04:11.512883,YÖNETİM > ÜRETİM > KREMA
20,KAZAN-2,Ekipman,8.0,,0,True,2026-01-16 10:59:08.417188,YÖNETİM > ÜRETİM > KREMA
21,KAZAN-3,Ekipman,8.0,,0,True,2026-01-16 10:59:39.277434,YÖNETİM > ÜRETİM > KREMA
22,KAZAN-4,Ekipman,8.0,,0,True,2026-01-16 11:00:15.073906,YÖNETİM > ÜRETİM > KREMA
23,KAZAN-5,Ekipman,8.0,,0,True,2026-01-16 11:00:43.114005,YÖNETİM > ÜRETİM > KREMA
24,KAZAN-6,Ekipman,8.0,,0,True,2026-01-16 11:01:21.497102,YÖNETİM > ÜRETİM > KREMA
25,KAZAN-7,Ekipman,8.0,,0,True,2026-01-16 11:01:55.867021,YÖNETİM > ÜRETİM > KREMA
26,KAZAN-8,Ekipman,8.0,,0,True,2026-01-16 11:02:28.795462,YÖNETİM > ÜRETİM > KREMA
27,KAZAN-9,Ekipman,8.0,,0,True,2026-01-16 11:02:55.884353,YÖNETİM > ÜRETİM > KREMA
38,OTO BESLEME-1,Ekipman,31.0,,0,True,2026-01-16 11:22:34.424990,
46,OTO BESLEME-1,Ekipman,41.0,,0,True,2026-01-16 11:36:17.362827,
39,OTO BESLEME-2,Ekipman,31.0,,0,True,2026-01-16 11:23:07.302411,
47,OTO BESLEME-2,Ekipman,41.0,,0,True,2026-01-16 11:36:51.250859,
48,OTO BESLEME-3,Ekipman,41.0,,0,True,2026-01-16 11:37:34.471900,
40,OTO BESLEME-3,Ekipman,31.0,,0,True,2026-01-16 11:23:34.605987,
42,OTO DOLUM-1,Ekipman,41.0,,0,True,2026-01-16 11:33:44.281024,
43,OTO DOLUM-2,Ekipman,41.0,,0,True,2026-01-16 11:34:19.256953,
44,OTO DOLUM-3,Ekipman,41.0,,0,True,2026-01-16 11:34:52.721833,
45,OTO DOLUM-4,Ekipman,41.0,,0,True,2026-01-16 11:35:20.132385,
51,PAKETLEME MAKİNESİ-1,Ekipman,41.0,,0,True,2026-01-16 11:40:16.368894,
52,PAKETLEME MAKİNESİ-2,Ekipman,41.0,,0,True,2026-01-16 11:41:04.534135,
32,PROF MONTAJ MAK-1,Ekipman,3.0,,0,True,2026-01-16 11:15:56.668428,
33,PROF MONTAJ MAK-2,Ekipman,3.0,,0,True,2026-01-16 11:16:29.429922,
34,PROF MONTAJ MAK-3,Ekipman,3.0,,0,True,2026-01-16 11:16:57.517804,
49,SOS MAKİNESİ,Ekipman,41.0,,0,True,2026-01-16 11:38:28.707347,
50,SOS TANKI,Ekipman,41.0,,0,True,2026-01-16 11:39:09.261514,
18,TANK-1,Ekipman,11.0,,0,True,2026-01-16 10:56:45.319912,
19,TANK-2,Ekipman,11.0,,0,True,2026-01-16 10:57:20.340578,
5,KAT -1,Kat,,,0,True,2026-01-16 10:16:32.146504,
3,KAT 1,Kat,,,0,True,2026-01-16 10:11:36.356293,
2,KAT 2,Kat,,,0,True,2026-01-16 10:11:00.416940,
1,KAT 3,Kat,,,0,True,2026-01-16 10:04:58.313702,
4,KAT ZEMİN,Kat,,,0,True,2026-01-16 10:12:24.992518,
