id,bolum_adi,aciklama,aktif,olusturma_tarihi,sira_no,ana_departman_id
1.0,YÖNETİM,TÜM ORGANİZASYONUN YÖNETİMİNİ YAPAR,True,,1,
2.0,ÜRETİM,TÜM ÜRETİM ORGANİZASYONUNUN YÖNETİMİNİ YAPAR,True,,2,1.0
3.0,PLANLAMA,TÜM PLANLAMA VE DEPOLAMA ORGANİZASYONUNUN YÖNETİMİNİ YAPAR,True,,3,1.0
4.0,İNSAN KAYNAKLARI,TÜM PLANLAMA VE DEPOLAMA ORGANİZASYONUNUN YÖNETİMİNİ YAPAR,True,,4,1.0
5.0,KALİTE,TÜM PLANLAMA VE DEPOLAMA ORGANİZASYONUNUN YÖNETİMİNİ YAPAR,True,,5,1.0
6.0,TEMİZLİK,TEMİZLİK ORGANİZASYON ,True,,6,2.0
7.0,BULAŞIKHANE,BULAŞIKHANE İŞLEMLERİNİ YÜRÜTÜR ,True,,7,6.0
8.0,GENEL TEMİZLİK,TÜM FABRİKA BAĞIMSIZ TEMİZLİK PROSESLERİNİ YÜRÜTÜR,True,,8,6.0
9.0,PROFİTEROL,PROFİTERON ÜRÜNÜN GEREKLİLİKLERİ VE PROSESLERİNİ YÜRÜTÜR,True,,9,2.0
10.0,BOMBA,BOMBA ÜRÜNÜN GEREKLİLİKLERİ VE PROSESLERİNİ YÜRÜTÜR,True,,10,2.0
11.0,PATAŞU,PATAŞU ÜRÜNÜN GEREKLİLİKLERİ VE PROSESLERİNİ YÜRÜTÜR,True,,11,2.0
12.0,KEK,KEK ÜRÜNÜN GEREKLİLİKLERİ VE PROSESLERİNİ YÜRÜTÜR,True,,12,2.0
13.0,KREMA,KREMA ÜRÜNÜN GEREKLİLİKLERİ VE PROSESLERİNİ YÜRÜTÜR,True,,13,2.0
14.0,DEPO,TÜM DEPO ORGANİZASYONUNU YAPAR,True,,14,3.0
15.0,YARI MAMÜL DEPO,TÜM YARI MAMÜL DEPO ORGANİZASYONUNU YAPAR,True,,15,14.0
16.0,MAMÜL DEPO,TÜM YARI MAMÜL DEPO ORGANİZASYONUNU YAPAR,True,,15,14.0
17.0,HAMMADDE DEPO,TÜM HAMMADDE DEPO ORGANİZASYONUNU YAPAR,True,,17,14.0
18.0,SOS,SOS BÖLÜMÜ GEREKLİLİKLERİNİ YERİNE GETİRİ,True,,18,2.0
19.0,BAKIM,FABRİKANIN TÜM BAKIM ONARIL İŞLEMLERİNİ YÜRÜTÜR,True,,19,2.0
20.0,ET İŞLEME,ET ÇİĞ KÖFTE GİBİ DÜRÜMCÜ ESNAF ÜRÜNLERİ YAPAN BÖLÜM,True,,20,1.0
