id,lokasyon_id,proses_tipi_id,siklik,sorumlu_id,notlar,aktif,created_at
1,10,4,Günlük,,,True,2026-01-16 11:46:02.935219
2,10,1,Günlük,,,True,2026-01-16 11:46:58.226742
4,41,5,Her Vardiya,,,True,2026-01-16 12:07:57.434448
5,7,5,Her Vardiya,,,True,2026-01-16 12:15:04.583206
6,12,4,Haftalık,,,True,2026-01-16 13:52:28.420071
7,14,4,Haftalık,,,True,2026-01-16 13:53:11.376571
8,13,4,Haftalık,,,True,2026-01-16 13:53:52.362436
9,6,5,Her Vardiya,,,True,2026-01-16 13:56:04.189176
10,31,5,Her Vardiya,,,True,2026-01-16 14:05:01.349808
12,9,5,Her Vardiya,,,True,2026-01-16 14:08:43.524264
